sku,date,quantity,revenue
PROD-0015,2026-03-11,8,1540.72
PROD-0015,2026-02-23,15,2888.85
PROD-0016,2026-06-20,9,1179.72
PROD-0016,2026-04-04,12,1572.96
PROD-0016,2026-01-17,3,393.24
PROD-0016,2026-03-30,11,1441.88
PROD-0017,2026-04-26,8,847.12
PROD-0017,2026-01-27,7,741.23
PROD-0017,2026-01-11,11,1164.79
PROD-0018,2026-03-14,4,467.88
PROD-0018,2026-05-08,15,1754.55
PROD-0018,2026-07-02,14,1637.58
PROD-0019,2026-07-29,38,9666.82
PROD-0019,2026-01-20,21,5342.19
PROD-0019,2026-01-26,19,4833.41
PROD-0019,2026-05-11,32,8140.48
PROD-0019,2026-07-26,37,9412.43
PROD-0019,2026-01-25,31,7886.09
PROD-0019,2026-04-24,21,5342.19
PROD-0020,2026-07-15,4,375
PROD-0020,2026-04-22,3,281.25
PROD-0020,2026-07-03,3,281.25
PROD-0021,2026-05-10,5,974.5
PROD-0021,2026-06-03,15,2923.5
PROD-0021,2026-04-30,5,974.5
PROD-0022,2026-05-25,5,225.4
PROD-0022,2026-05-17,5,225.4
PROD-0023,2026-03-28,10,2477.7
PROD-0023,2026-03-09,5,1238.85
PROD-0023,2026-03-02,11,2725.47
PROD-0023,2026-03-22,10,2477.7
PROD-0024,2026-07-04,7,1377.88
PROD-0024,2026-05-27,16,3149.44
PROD-0024,2026-01-21,16,3149.44
PROD-0024,2026-05-02,24,4724.16
PROD-0024,2026-02-18,25,4921
PROD-0024,2026-01-20,37,7283.08
PROD-0024,2026-04-22,23,4527.32
PROD-0025,2026-04-09,7,1402.03
PROD-0025,2026-07-05,3,600.87
PROD-0025,2026-06-10,14,2804.06
PROD-0026,2026-06-30,10,629.6
PROD-0026,2026-07-27,15,944.4
PROD-0026,2026-02-22,9,566.64
PROD-0026,2026-02-10,11,692.56
PROD-0027,2026-02-02,1,214.8
PROD-0027,2026-02-06,4,859.2
PROD-0028,2026-01-06,10,787.3
PROD-0028,2026-04-07,3,236.19
PROD-0028,2026-02-09,3,236.19
PROD-0029,2026-05-30,23,5332.09
PROD-0029,2026-02-07,6,1390.98
PROD-0029,2026-07-10,20,4636.6
PROD-0029,2026-05-04,8,1854.64
PROD-0029,2026-05-12,7,1622.81
PROD-0029,2026-02-05,31,7186.73
PROD-0029,2026-05-01,18,4172.94
PROD-0030,2026-04-27,6,84.66
PROD-0030,2026-05-27,3,42.33
PROD-0030,2026-02-26,14,197.54
PROD-0030,2026-05-03,3,42.33
PROD-0031,2026-07-05,4,1101.12
PROD-0031,2026-05-07,12,3303.36
PROD-0031,2026-06-23,8,2202.24
PROD-0031,2026-05-17,13,3578.64
PROD-0032,2026-03-01,5,1015.75
PROD-0032,2026-03-04,6,1218.9
PROD-0032,2026-01-18,13,2640.95
PROD-0033,2026-03-11,2,198.42
PROD-0033,2026-05-29,2,198.42
PROD-0034,2026-06-12,15,1950.3
PROD-0034,2026-03-11,14,1820.28
PROD-0034,2026-06-07,3,390.06
PROD-0035,2026-06-27,3,901.35
PROD-0035,2026-03-10,4,1201.8
PROD-0036,2026-02-12,2,330.16
PROD-0036,2026-01-26,5,825.4
PROD-0037,2026-01-09,9,2817.54
PROD-0037,2026-01-04,15,4695.9
PROD-0037,2026-04-09,7,2191.42
PROD-0038,2026-04-24,14,2972.76
PROD-0038,2026-02-04,19,4034.46
PROD-0038,2026-01-25,28,5945.52
PROD-0038,2026-05-31,35,7431.9
PROD-0038,2026-02-14,15,3185.1
PROD-0038,2026-07-17,18,3822.12
PROD-0038,2026-02-06,9,1911.06
PROD-0039,2026-01-01,3,335.79
PROD-0039,2026-06-07,1,111.93
PROD-0040,2026-05-17,1,142.95
PROD-0040,2026-02-19,4,571.8
PROD-0041,2026-07-30,4,987.4
PROD-0041,2026-03-05,11,2715.35
PROD-0041,2026-01-14,5,1234.25
PROD-0042,2026-06-17,24,2537.52
PROD-0042,2026-04-11,10,1057.3
PROD-0042,2026-01-14,39,4123.47
PROD-0042,2026-05-19,36,3806.28
PROD-0042,2026-06-09,32,3383.36
PROD-0042,2026-07-10,12,1268.76
PROD-0042,2026-04-26,25,2643.25
PROD-0043,2026-02-13,12,1057.68
PROD-0043,2026-02-21,15,1322.1
PROD-0043,2026-07-11,4,352.56
PROD-0043,2026-02-06,5,440.7
PROD-0044,2026-03-28,10,2829.8
PROD-0044,2026-05-28,15,4244.7
PROD-0044,2026-01-27,4,1131.92
PROD-0044,2026-05-17,11,3112.78
PROD-0045,2026-01-08,6,443.94
PROD-0045,2026-01-12,3,221.97
PROD-0045,2026-04-29,4,295.96
PROD-0046,2026-05-14,6,748.86
PROD-0046,2026-07-02,7,873.67
PROD-0046,2026-07-26,10,1248.1
PROD-0047,2026-05-14,3,682.11
PROD-0047,2026-06-15,15,3410.55
PROD-0047,2026-06-07,9,2046.33
PROD-0047,2026-01-28,10,2273.7
PROD-0048,2026-05-03,14,573.86
PROD-0048,2026-04-07,6,245.94
PROD-0048,2026-03-24,2,81.98
PROD-0049,2026-04-29,22,2102.98
PROD-0049,2026-07-06,40,3823.6
PROD-0049,2026-03-31,37,3536.83
PROD-0049,2026-01-17,8,764.72
PROD-0049,2026-03-05,12,1147.08
PROD-0049,2026-05-11,32,3058.88
PROD-0049,2026-02-26,5,477.95
PROD-0049,2026-06-27,7,669.13
PROD-0050,2026-02-03,10,2578.8
PROD-0050,2026-07-23,4,1031.52
PROD-0050,2026-05-13,6,1547.28
PROD-0050,2026-05-26,4,1031.52
