sku,date,views
PROD-0004,2026-02-18,96
PROD-0004,2026-04-02,154
PROD-0004,2026-03-04,77
PROD-0004,2026-07-19,242
PROD-0004,2026-04-18,73
PROD-0004,2026-07-26,115
PROD-0005,2026-03-10,105
PROD-0005,2026-06-05,79
PROD-0005,2026-04-08,99
PROD-0005,2026-04-14,163
PROD-0005,2026-05-23,163
PROD-0005,2026-03-26,92
PROD-0005,2026-06-11,226
PROD-0005,2026-05-12,40
PROD-0005,2026-01-05,82
PROD-0005,2026-01-01,246
PROD-0005,2026-02-12,228
PROD-0005,2026-03-23,94
PROD-0005,2026-07-03,157
PROD-0005,2026-05-06,240
PROD-0005,2026-03-09,99
PROD-0005,2026-02-20,190
PROD-0005,2026-02-03,187
PROD-0006,2026-07-04,107
PROD-0006,2026-04-23,181
PROD-0006,2026-02-04,242
PROD-0006,2026-06-21,229
PROD-0006,2026-05-06,84
PROD-0006,2026-03-23,245
PROD-0006,2026-01-31,154
PROD-0006,2026-05-23,174
PROD-0006,2026-05-26,238
PROD-0006,2026-02-27,88
PROD-0006,2026-07-02,115
PROD-0006,2026-03-14,224
PROD-0006,2026-05-13,214
PROD-0006,2026-07-21,153
PROD-0006,2026-04-16,102
PROD-0006,2026-05-01,160
PROD-0006,2026-03-17,183
PROD-0006,2026-07-05,43
PROD-0006,2026-01-11,195
PROD-0007,2026-03-21,309
PROD-0007,2026-02-11,306
PROD-0007,2026-04-17,248
PROD-0007,2026-06-26,442
PROD-0007,2026-05-31,726
PROD-0007,2026-06-27,514
PROD-0007,2026-04-13,410
PROD-0007,2026-01-24,234
PROD-0007,2026-04-21,423
PROD-0007,2026-04-01,315
PROD-0007,2026-04-22,334
PROD-0007,2026-04-18,206
PROD-0007,2026-05-22,194
PROD-0007,2026-02-24,345
PROD-0007,2026-05-16,553
PROD-0007,2026-06-23,526
PROD-0007,2026-06-12,739
PROD-0007,2026-03-23,230
PROD-0007,2026-07-29,785
PROD-0007,2026-07-26,732
PROD-0007,2026-05-03,441
PROD-0007,2026-06-29,216
PROD-0007,2026-06-16,235
PROD-0007,2026-03-02,414
PROD-0007,2026-01-21,549
PROD-0007,2026-02-12,556
PROD-0007,2026-03-16,172
PROD-0007,2026-05-09,214
PROD-0007,2026-03-03,373
PROD-0007,2026-05-19,421
PROD-0007,2026-06-14,325
PROD-0007,2026-07-07,577
PROD-0007,2026-03-29,193
PROD-0008,2026-04-23,117
PROD-0008,2026-01-03,87
PROD-0008,2026-03-01,158
PROD-0008,2026-02-08,75
PROD-0008,2026-01-07,68
PROD-0008,2026-02-15,233
PROD-0008,2026-07-26,145
PROD-0008,2026-07-19,84
PROD-0008,2026-04-15,126
PROD-0008,2026-06-12,167
PROD-0008,2026-06-26,168
PROD-0008,2026-05-17,155
PROD-0008,2026-05-06,215
PROD-0008,2026-01-26,102
PROD-0008,2026-04-12,95
PROD-0008,2026-03-22,60
PROD-0008,2026-02-04,157
PROD-0008,2026-01-16,56
PROD-0008,2026-07-11,226
PROD-0008,2026-01-09,183
PROD-0009,2026-03-12,210
PROD-0009,2026-05-18,51
PROD-0009,2026-07-09,132
PROD-0009,2026-03-25,237
PROD-0009,2026-01-22,237
PROD-0009,2026-06-06,40
PROD-0009,2026-05-11,222
PROD-0009,2026-04-01,216
PROD-0009,2026-05-16,75
PROD-0009,2026-01-04,86
PROD-0009,2026-06-11,223
PROD-0009,2026-05-01,199
PROD-0009,2026-02-10,164
PROD-0009,2026-03-26,113
PROD-0009,2026-02-24,188
PROD-0009,2026-03-18,238
PROD-0009,2026-07-18,67
PROD-0009,2026-01-25,77
PROD-0009,2026-07-14,140
PROD-0010,2026-06-21,26
PROD-0010,2026-02-19,12
PROD-0010,2026-01-01,49
PROD-0010,2026-02-17,27
PROD-0010,2026-03-26,5
PROD-0010,2026-04-27,47
PROD-0010,2026-05-13,18
PROD-0010,2026-03-13,27
PROD-0010,2026-04-17,38
PROD-0010,2026-03-05,23
PROD-0011,2026-06-09,112
PROD-0011,2026-03-28,146
PROD-0011,2026-07-18,111
PROD-0011,2026-05-29,68
PROD-0011,2026-04-26,110
PROD-0011,2026-03-08,157
PROD-0011,2026-07-15,101
PROD-0011,2026-03-01,161
PROD-0011,2026-01-28,141
PROD-0011,2026-05-14,54
PROD-0011,2026-04-03,62
PROD-0011,2026-03-30,41
PROD-0011,2026-04-21,235
PROD-0011,2026-04-06,192
PROD-0011,2026-01-30,114
PROD-0011,2026-01-01,85
PROD-0011,2026-05-17,90
PROD-0011,2026-06-06,65
PROD-0011,2026-01-24,203
PROD-0011,2026-04-27,219
PROD-0012,2026-06-30,525
PROD-0012,2026-07-14,630
PROD-0012,2026-01-24,601
PROD-0012,2026-01-11,786
PROD-0012,2026-07-18,554
PROD-0012,2026-02-21,305
PROD-0012,2026-06-28,570
PROD-0012,2026-06-01,487
PROD-0012,2026-04-13,780
PROD-0012,2026-07-23,610
PROD-0012,2026-03-18,239
PROD-0012,2026-02-10,632
PROD-0012,2026-02-23,549
PROD-0012,2026-01-01,259
PROD-0012,2026-01-31,164
PROD-0012,2026-02-26,392
PROD-0012,2026-02-04,169
PROD-0012,2026-01-03,451
PROD-0012,2026-04-04,596
PROD-0012,2026-04-20,345
PROD-0012,2026-03-24,569
PROD-0012,2026-03-29,250
PROD-0012,2026-06-13,750
PROD-0012,2026-04-21,300
PROD-0012,2026-01-20,217
PROD-0012,2026-04-28,578
PROD-0012,2026-01-15,158
PROD-0012,2026-01-08,275
PROD-0012,2026-01-13,429
PROD-0012,2026-03-22,211
PROD-0012,2026-05-23,334
PROD-0013,2026-05-09,254
PROD-0013,2026-02-24,778
PROD-0013,2026-06-11,580
PROD-0013,2026-05-31,540
PROD-0013,2026-01-27,437
PROD-0013,2026-06-24,568
PROD-0013,2026-03-12,308
PROD-0013,2026-01-03,229
PROD-0013,2026-07-08,271
PROD-0013,2026-05-28,693
PROD-0013,2026-04-05,226
PROD-0013,2026-06-29,421
PROD-0013,2026-06-09,427
PROD-0013,2026-04-07,285
PROD-0013,2026-05-22,350
PROD-0013,2026-05-19,558
PROD-0013,2026-05-13,182
PROD-0013,2026-04-21,627
PROD-0013,2026-03-08,676
PROD-0013,2026-06-26,331
PROD-0013,2026-03-26,705
PROD-0013,2026-07-15,617
PROD-0013,2026-03-10,720
PROD-0013,2026-02-15,632
PROD-0013,2026-01-29,777
PROD-0013,2026-01-23,770
PROD-0013,2026-04-11,589
PROD-0013,2026-02-09,589
PROD-0013,2026-03-27,503
PROD-0013,2026-04-01,585
PROD-0013,2026-05-20,258
PROD-0013,2026-03-25,602
PROD-0014,2026-03-18,137
PROD-0014,2026-07-22,210
PROD-0014,2026-05-23,189
PROD-0014,2026-06-30,46
PROD-0014,2026-06-29,47
PROD-0014,2026-03-12,144
PROD-0014,2026-05-13,102
PROD-0014,2026-02-10,97
PROD-0014,2026-07-19,120
PROD-0014,2026-07-05,231
PROD-0014,2026-06-12,102
PROD-0014,2026-02-04,146
PROD-0014,2026-05-18,149
PROD-0014,2026-07-03,179
PROD-0014,2026-02-18,110
PROD-0014,2026-02-25,78
PROD-0014,2026-05-15,204
PROD-0014,2026-01-28,181
PROD-0015,2026-04-14,135
PROD-0015,2026-03-02,176
PROD-0015,2026-03-04,152
PROD-0015,2026-02-22,97
PROD-0015,2026-01-15,246
PROD-0015,2026-07-16,175
PROD-0015,2026-07-21,229
PROD-0015,2026-06-26,63
PROD-0015,2026-03-31,82
PROD-0015,2026-02-07,205
PROD-0015,2026-03-09,99
PROD-0015,2026-01-28,138
PROD-0015,2026-03-11,187
PROD-0015,2026-04-18,112
PROD-0015,2026-04-13,238
PROD-0015,2026-02-17,215
PROD-0015,2026-02-23,149
PROD-0015,2026-01-19,111
PROD-0016,2026-06-04,70
PROD-0016,2026-01-20,61
PROD-0016,2026-04-04,193
PROD-0016,2026-01-07,198
PROD-0016,2026-01-17,166
PROD-0016,2026-05-30,140
PROD-0016,2026-04-29,50
PROD-0016,2026-07-13,183
PROD-0016,2026-05-31,170
PROD-0016,2026-03-25,113
PROD-0016,2026-06-06,174
PROD-0016,2026-07-27,172
PROD-0016,2026-06-08,167
PROD-0016,2026-04-26,220
PROD-0016,2026-03-30,60
PROD-0016,2026-04-19,115
PROD-0016,2026-01-25,131
PROD-0016,2026-01-26,62
PROD-0016,2026-06-22,104
PROD-0016,2026-06-20,134
PROD-0017,2026-01-27,93
PROD-0017,2026-04-30,190
PROD-0017,2026-04-19,70
PROD-0017,2026-01-07,94
PROD-0017,2026-06-18,109
PROD-0017,2026-07-24,226
PROD-0017,2026-06-27,235
PROD-0017,2026-04-26,190
PROD-0017,2026-02-07,111
PROD-0017,2026-07-25,72
PROD-0017,2026-01-25,111
PROD-0017,2026-07-27,237
PROD-0017,2026-04-20,67
PROD-0017,2026-01-24,179
PROD-0017,2026-01-11,237
PROD-0017,2026-07-26,56
PROD-0017,2026-02-06,71
PROD-0017,2026-04-15,220
PROD-0018,2026-01-30,152
PROD-0018,2026-07-03,52
PROD-0018,2026-01-26,179
PROD-0018,2026-05-01,166
PROD-0018,2026-01-25,79
PROD-0018,2026-05-20,192
PROD-0018,2026-05-21,101
PROD-0018,2026-03-15,59
PROD-0018,2026-03-29,236
PROD-0018,2026-07-02,248
PROD-0018,2026-02-23,47
PROD-0018,2026-05-08,148
PROD-0018,2026-06-01,79
PROD-0018,2026-04-18,59
PROD-0018,2026-03-14,172
PROD-0018,2026-07-28,173
PROD-0019,2026-06-08,193
PROD-0019,2026-06-15,190
PROD-0019,2026-01-27,522
PROD-0019,2026-02-08,587
PROD-0019,2026-05-05,150
PROD-0019,2026-07-18,312
PROD-0019,2026-07-14,606
PROD-0019,2026-03-22,441
PROD-0019,2026-05-25,288
PROD-0019,2026-05-11,329
PROD-0019,2026-07-29,239
PROD-0019,2026-01-08,449
PROD-0019,2026-01-25,761
PROD-0019,2026-05-01,714
PROD-0019,2026-07-26,352
PROD-0019,2026-07-12,254
PROD-0019,2026-06-20,672
PROD-0019,2026-07-15,730
PROD-0019,2026-01-26,442
PROD-0019,2026-06-23,266
PROD-0019,2026-05-02,595
PROD-0019,2026-02-18,223
PROD-0019,2026-07-08,483
PROD-0019,2026-01-18,166
PROD-0019,2026-07-04,198
PROD-0019,2026-04-17,712
PROD-0019,2026-03-21,280
PROD-0019,2026-02-04,237
PROD-0019,2026-04-24,179
PROD-0019,2026-01-30,271
PROD-0019,2026-04-01,194
PROD-0019,2026-01-21,459
PROD-0019,2026-03-20,621
PROD-0019,2026-01-20,558
PROD-0020,2026-01-07,105
PROD-0020,2026-06-13,238
PROD-0020,2026-01-29,191
PROD-0020,2026-03-27,47
PROD-0020,2026-01-06,74
PROD-0020,2026-02-11,208
PROD-0020,2026-02-01,66
PROD-0020,2026-07-12,242
PROD-0020,2026-02-16,68
PROD-0020,2026-04-22,157
PROD-0020,2026-06-12,197
PROD-0020,2026-07-03,89
PROD-0020,2026-06-19,204
PROD-0020,2026-07-15,61
PROD-0020,2026-05-24,185
PROD-0020,2026-05-28,233
PROD-0021,2026-03-28,74
PROD-0021,2026-05-10,93
PROD-0021,2026-02-12,219
PROD-0021,2026-02-09,208
PROD-0021,2026-03-31,209
PROD-0021,2026-07-21,241
PROD-0021,2026-03-26,136
PROD-0021,2026-02-11,52
PROD-0021,2026-03-11,60
PROD-0021,2026-04-30,55
PROD-0021,2026-06-13,94
PROD-0021,2026-03-13,87
PROD-0021,2026-06-03,235
PROD-0021,2026-05-12,229
PROD-0021,2026-07-04,83
PROD-0021,2026-02-20,143
PROD-0021,2026-05-02,44
PROD-0022,2026-07-16,38
PROD-0022,2026-06-08,32
PROD-0022,2026-05-17,5
PROD-0022,2026-06-13,36
PROD-0022,2026-07-09,22
PROD-0022,2026-03-13,46
PROD-0022,2026-01-14,19
PROD-0022,2026-05-25,21
PROD-0022,2026-04-14,31
PROD-0023,2026-03-28,182
PROD-0023,2026-05-09,213
PROD-0023,2026-04-20,83
PROD-0023,2026-06-02,165
PROD-0023,2026-03-22,164
PROD-0023,2026-02-05,216
PROD-0023,2026-02-17,126
PROD-0023,2026-07-13,92
PROD-0023,2026-03-16,239
PROD-0023,2026-01-18,168
PROD-0023,2026-05-21,82
PROD-0023,2026-03-02,196
PROD-0023,2026-02-04,122
PROD-0023,2026-07-05,140
PROD-0023,2026-07-08,69
PROD-0023,2026-03-20,222
PROD-0023,2026-03-09,143
PROD-0023,2026-02-07,211
PROD-0023,2026-05-03,166
PROD-0023,2026-04-02,248
PROD-0024,2026-05-21,420
PROD-0024,2026-02-08,205
PROD-0024,2026-07-09,345
PROD-0024,2026-04-09,374
PROD-0024,2026-04-20,378
PROD-0024,2026-03-16,595
PROD-0024,2026-02-12,615
PROD-0024,2026-01-10,473
PROD-0024,2026-02-18,547
PROD-0024,2026-07-15,512
PROD-0024,2026-04-22,512
PROD-0024,2026-07-08,670
PROD-0024,2026-03-26,686
PROD-0024,2026-07-04,678
PROD-0024,2026-06-03,449
PROD-0024,2026-06-18,742
PROD-0024,2026-07-12,533
PROD-0024,2026-07-02,478
PROD-0024,2026-06-10,168
PROD-0024,2026-04-29,711
PROD-0024,2026-03-22,402
PROD-0024,2026-01-20,447
PROD-0024,2026-04-25,548
PROD-0024,2026-02-24,201
PROD-0024,2026-03-06,497
PROD-0024,2026-01-21,257
PROD-0024,2026-07-17,332
PROD-0024,2026-04-05,736
PROD-0024,2026-01-29,551
PROD-0024,2026-05-27,502
PROD-0024,2026-03-10,562
PROD-0024,2026-05-02,515
PROD-0024,2026-01-28,698
PROD-0024,2026-04-28,784
PROD-0024,2026-07-26,682
PROD-0025,2026-06-25,177
PROD-0025,2026-07-08,86
PROD-0025,2026-07-05,107
PROD-0025,2026-03-31,76
PROD-0025,2026-03-23,190
PROD-0025,2026-05-20,245
PROD-0025,2026-04-09,129
PROD-0025,2026-06-10,42
PROD-0025,2026-06-11,41
PROD-0025,2026-01-08,84
PROD-0025,2026-06-17,70
PROD-0025,2026-04-04,190
PROD-0025,2026-02-16,121
PROD-0025,2026-07-10,145
PROD-0025,2026-05-10,98
PROD-0025,2026-04-20,90
PROD-0025,2026-05-01,182
PROD-0026,2026-02-22,117
PROD-0026,2026-03-04,217
PROD-0026,2026-01-10,182
PROD-0026,2026-06-23,213
PROD-0026,2026-06-25,136
PROD-0026,2026-07-26,71
PROD-0026,2026-06-08,163
PROD-0026,2026-04-19,144
PROD-0026,2026-06-30,55
PROD-0026,2026-07-27,122
PROD-0026,2026-04-04,116
PROD-0026,2026-06-27,120
PROD-0026,2026-02-09,55
PROD-0026,2026-02-23,210
PROD-0026,2026-02-10,229
PROD-0026,2026-01-28,67
PROD-0026,2026-02-08,87
PROD-0026,2026-01-12,191
PROD-0027,2026-07-20,38
PROD-0027,2026-06-11,26
PROD-0027,2026-03-08,11
PROD-0027,2026-02-09,51
PROD-0027,2026-02-08,41
PROD-0027,2026-07-02,15
PROD-0027,2026-03-04,58
PROD-0027,2026-02-02,19
PROD-0027,2026-03-30,14
PROD-0027,2026-02-06,13
PROD-0028,2026-03-30,155
PROD-0028,2026-03-08,206
PROD-0028,2026-02-19,112
PROD-0028,2026-07-21,119
PROD-0028,2026-03-11,58
PROD-0028,2026-04-18,209
PROD-0028,2026-01-06,157
PROD-0028,2026-07-30,119
PROD-0028,2026-01-15,174
PROD-0028,2026-07-10,118
PROD-0028,2026-03-21,208
PROD-0028,2026-04-02,183
PROD-0028,2026-04-10,245
PROD-0028,2026-04-07,161
PROD-0028,2026-05-12,124
PROD-0028,2026-02-09,221
PROD-0029,2026-03-03,182
PROD-0029,2026-01-13,715
PROD-0029,2026-07-22,338
PROD-0029,2026-05-07,706
PROD-0029,2026-01-24,624
PROD-0029,2026-06-11,613
PROD-0029,2026-07-18,598
PROD-0029,2026-02-05,364
PROD-0029,2026-02-07,364
PROD-0029,2026-06-16,733
PROD-0029,2026-05-30,527
PROD-0029,2026-03-13,254
PROD-0029,2026-05-04,462
PROD-0029,2026-07-25,521
PROD-0029,2026-07-10,647
PROD-0029,2026-02-04,735
PROD-0029,2026-05-03,440
PROD-0029,2026-03-02,383
PROD-0029,2026-01-25,562
PROD-0029,2026-05-01,218
PROD-0029,2026-05-31,227
PROD-0029,2026-01-28,703
PROD-0029,2026-05-14,463
PROD-0029,2026-07-24,357
PROD-0029,2026-01-01,514
PROD-0029,2026-04-01,303
PROD-0029,2026-03-30,721
PROD-0029,2026-04-02,780
PROD-0029,2026-01-07,669
PROD-0029,2026-05-12,323
PROD-0029,2026-07-04,411
PROD-0029,2026-03-17,562
PROD-0029,2026-01-18,717
PROD-0030,2026-05-26,226
PROD-0030,2026-01-02,101
PROD-0030,2026-07-22,155
PROD-0030,2026-04-27,114
PROD-0030,2026-03-08,236
PROD-0030,2026-07-24,55
PROD-0030,2026-01-03,249
PROD-0030,2026-02-05,210
PROD-0030,2026-05-13,215
PROD-0030,2026-02-26,199
PROD-0030,2026-07-16,138
PROD-0030,2026-01-25,199
PROD-0030,2026-05-03,54
PROD-0030,2026-04-23,234
PROD-0030,2026-05-27,76
PROD-0030,2026-02-23,43
PROD-0030,2026-06-20,150
PROD-0030,2026-01-27,155
PROD-0031,2026-02-22,145
PROD-0031,2026-06-06,161
PROD-0031,2026-07-04,224
PROD-0031,2026-04-11,105
PROD-0031,2026-06-25,152
PROD-0031,2026-01-26,219
PROD-0031,2026-04-22,92
PROD-0031,2026-01-25,76
PROD-0031,2026-02-05,246
PROD-0031,2026-03-11,100
PROD-0031,2026-05-07,126
PROD-0031,2026-01-17,111
PROD-0031,2026-07-05,189
PROD-0031,2026-06-02,72
PROD-0031,2026-02-15,146
PROD-0031,2026-05-17,68
PROD-0031,2026-04-02,212
PROD-0031,2026-06-23,151
PROD-0032,2026-03-14,139
PROD-0032,2026-01-18,159
PROD-0032,2026-05-17,91
PROD-0032,2026-04-14,220
PROD-0032,2026-02-23,71
PROD-0032,2026-05-30,56
PROD-0032,2026-05-23,208
PROD-0032,2026-04-17,78
PROD-0032,2026-05-31,103
PROD-0032,2026-03-04,143
PROD-0032,2026-03-12,147
PROD-0032,2026-04-20,94
PROD-0032,2026-03-01,247
PROD-0032,2026-03-31,201
PROD-0032,2026-07-21,164
PROD-0032,2026-05-29,166
PROD-0032,2026-04-24,142
PROD-0033,2026-05-20,45
PROD-0033,2026-06-16,24
PROD-0033,2026-03-11,21
PROD-0033,2026-05-09,53
PROD-0033,2026-07-08,25
PROD-0033,2026-05-02,52
PROD-0033,2026-06-24,46
PROD-0033,2026-05-29,55
PROD-0033,2026-03-16,20
PROD-0034,2026-03-13,104
PROD-0034,2026-02-23,204
PROD-0034,2026-06-12,192
PROD-0034,2026-06-16,177
PROD-0034,2026-06-24,127
PROD-0034,2026-02-28,122
PROD-0034,2026-06-07,115
PROD-0034,2026-04-30,210
PROD-0034,2026-02-01,192
PROD-0034,2026-04-26,157
PROD-0034,2026-04-21,138
PROD-0034,2026-03-11,99
PROD-0034,2026-03-07,112
PROD-0034,2026-07-09,210
PROD-0034,2026-05-17,188
PROD-0034,2026-05-01,109
PROD-0034,2026-02-12,43
PROD-0035,2026-04-25,45
PROD-0035,2026-06-30,7
PROD-0035,2026-03-10,56
PROD-0035,2026-05-26,28
PROD-0035,2026-02-17,17
PROD-0035,2026-05-31,13
PROD-0035,2026-06-27,50
PROD-0035,2026-02-25,13
PROD-0035,2026-01-15,24
PROD-0035,2026-03-31,14
PROD-0036,2026-05-05,60
PROD-0036,2026-02-24,33
PROD-0036,2026-07-08,14
PROD-0036,2026-05-29,46
PROD-0036,2026-01-06,37
PROD-0036,2026-01-26,6
PROD-0036,2026-07-18,45
PROD-0036,2026-02-12,11
PROD-0036,2026-07-11,24
PROD-0037,2026-01-04,242
PROD-0037,2026-04-22,80
PROD-0037,2026-01-05,164
PROD-0037,2026-05-15,63
PROD-0037,2026-04-09,82
PROD-0037,2026-02-11,172
PROD-0037,2026-03-21,215
PROD-0037,2026-05-18,110
PROD-0037,2026-01-09,152
PROD-0037,2026-01-16,176
PROD-0037,2026-05-16,238
PROD-0037,2026-02-22,45
PROD-0037,2026-07-28,182
PROD-0037,2026-06-14,123
PROD-0037,2026-02-05,249
PROD-0037,2026-01-23,217
PROD-0038,2026-07-17,660
PROD-0038,2026-04-24,301
PROD-0038,2026-04-09,538
PROD-0038,2026-03-11,329
PROD-0038,2026-03-18,435
PROD-0038,2026-05-31,544
PROD-0038,2026-02-03,790
PROD-0038,2026-06-22,217
PROD-0038,2026-01-14,232
PROD-0038,2026-02-14,608
PROD-0038,2026-07-26,482
PROD-0038,2026-01-07,668
PROD-0038,2026-07-30,266
PROD-0038,2026-07-02,755
PROD-0038,2026-01-03,483
PROD-0038,2026-05-13,442
PROD-0038,2026-03-25,693
PROD-0038,2026-02-21,698
PROD-0038,2026-06-14,294
PROD-0038,2026-02-01,384
PROD-0038,2026-03-06,781
PROD-0038,2026-04-29,557
PROD-0038,2026-01-25,396
PROD-0038,2026-03-21,422
PROD-0038,2026-02-04,214
PROD-0038,2026-06-24,436
PROD-0038,2026-01-17,270
PROD-0038,2026-03-17,157
PROD-0038,2026-03-01,331
PROD-0038,2026-02-06,385
PROD-0038,2026-05-18,500
PROD-0038,2026-05-30,732
PROD-0038,2026-06-09,526
PROD-0038,2026-02-26,253
PROD-0039,2026-06-07,15
PROD-0039,2026-01-01,36
PROD-0039,2026-07-23,40
PROD-0039,2026-01-04,45
PROD-0039,2026-03-09,28
PROD-0039,2026-01-17,46
PROD-0039,2026-07-16,51
PROD-0039,2026-04-05,28
PROD-0039,2026-01-18,36
PROD-0040,2026-02-19,11
PROD-0040,2026-06-10,19
PROD-0040,2026-02-13,45
PROD-0040,2026-04-27,40
PROD-0040,2026-05-31,51
PROD-0040,2026-01-21,40
PROD-0040,2026-06-15,22
PROD-0040,2026-04-06,31
PROD-0040,2026-05-17,5
PROD-0040,2026-06-27,20
PROD-0041,2026-06-30,213
PROD-0041,2026-07-03,76
PROD-0041,2026-03-05,90
PROD-0041,2026-06-24,218
PROD-0041,2026-01-14,208
PROD-0041,2026-02-15,128
PROD-0041,2026-07-30,162
PROD-0041,2026-04-03,93
PROD-0041,2026-05-08,183
PROD-0041,2026-05-01,42
PROD-0041,2026-03-26,159
PROD-0041,2026-04-30,82
PROD-0041,2026-01-30,226
PROD-0041,2026-06-08,138
PROD-0041,2026-02-05,161
PROD-0041,2026-03-17,170
PROD-0041,2026-03-03,64
PROD-0042,2026-04-20,406
PROD-0042,2026-07-17,650
PROD-0042,2026-04-11,700
PROD-0042,2026-05-19,242
PROD-0042,2026-02-18,153
PROD-0042,2026-06-17,399
PROD-0042,2026-01-23,746
PROD-0042,2026-04-17,721
PROD-0042,2026-04-26,450
PROD-0042,2026-07-24,778
PROD-0042,2026-02-05,463
PROD-0042,2026-01-02,646
PROD-0042,2026-06-25,654
PROD-0042,2026-04-18,710
PROD-0042,2026-04-08,487
PROD-0042,2026-02-07,266
PROD-0042,2026-07-10,677
PROD-0042,2026-02-28,158
PROD-0042,2026-06-09,688
PROD-0042,2026-07-18,570
PROD-0042,2026-07-05,487
PROD-0042,2026-06-02,536
PROD-0042,2026-07-04,671
PROD-0042,2026-05-29,598
PROD-0042,2026-05-22,708
PROD-0042,2026-04-07,488
PROD-0042,2026-05-04,626
PROD-0042,2026-03-27,425
PROD-0042,2026-06-26,386
PROD-0042,2026-06-21,157
PROD-0042,2026-01-26,398
PROD-0042,2026-01-14,786
PROD-0042,2026-06-29,725
PROD-0042,2026-07-20,259
PROD-0042,2026-05-10,467
PROD-0042,2026-07-09,617
PROD-0043,2026-06-02,213
PROD-0043,2026-03-10,68
PROD-0043,2026-04-10,194
PROD-0043,2026-04-04,136
PROD-0043,2026-01-04,106
PROD-0043,2026-04-29,157
PROD-0043,2026-02-21,216
PROD-0043,2026-07-11,186
PROD-0043,2026-06-01,125
PROD-0043,2026-03-25,158
PROD-0043,2026-04-12,230
PROD-0043,2026-02-13,101
PROD-0043,2026-06-24,141
PROD-0043,2026-05-01,151
PROD-0043,2026-05-05,105
PROD-0043,2026-02-06,157
PROD-0043,2026-05-04,175
PROD-0043,2026-07-01,237
PROD-0044,2026-04-27,86
PROD-0044,2026-06-22,92
PROD-0044,2026-05-17,90
PROD-0044,2026-06-28,49
PROD-0044,2026-06-30,91
PROD-0044,2026-06-16,74
PROD-0044,2026-01-27,114
PROD-0044,2026-07-29,111
PROD-0044,2026-02-16,124
PROD-0044,2026-07-13,43
PROD-0044,2026-03-22,140
PROD-0044,2026-05-30,250
PROD-0044,2026-03-28,123
PROD-0044,2026-02-17,235
PROD-0044,2026-02-25,238
PROD-0044,2026-06-15,193
PROD-0044,2026-05-16,78
PROD-0044,2026-01-06,191
PROD-0044,2026-03-04,169
PROD-0044,2026-05-28,207
PROD-0045,2026-04-26,42
PROD-0045,2026-05-13,132
