sku,date,quantity,revenue
QD-002,2026-06-17,2,99.98
QD-005,2026-07-23,8,479.92
QD-001,2026-06-19,2,39.98
QD-005,2026-05-14,3,179.97
QD-008,2026-06-06,4,63.96
QD-009,2026-06-18,2,45.00
QD-006,2026-05-11,4,119.96
QD-010,2026-06-11,4,71.96
QD-010,2026-06-22,1,17.99
QD-010,2026-07-16,7,125.93
QD-002,2026-07-17,6,299.94
QD-002,2026-08-02,6,299.94
QD-010,2026-07-07,8,143.92
QD-002,2026-06-10,1,49.99
QD-002,2026-05-17,1,49.99
QD-008,2026-07-24,5,79.95
QD-006,2026-05-19,6,179.94
QD-006,2026-07-10,1,29.99
QD-004,2026-07-19,5,170.00
QD-006,2026-05-23,8,239.92
QD-005,2026-07-04,6,359.94
QD-009,2026-07-21,1,22.50
QD-006,2026-05-17,5,149.95
QD-010,2026-06-27,5,89.95
QD-001,2026-05-24,1,19.99
QD-007,2026-06-26,3,194.97
QD-003,2026-08-03,1,24.50
QD-002,2026-06-04,7,349.93
QD-004,2026-07-21,2,68.00
QD-003,2026-06-23,4,98.00
QD-009,2026-06-24,6,135.00
QD-009,2026-07-04,1,22.50
QD-008,2026-05-28,6,95.94
QD-007,2026-05-23,7,454.93
QD-001,2026-06-25,1,19.99
QD-008,2026-05-25,2,31.98
QD-001,2026-07-18,4,79.96
QD-008,2026-07-02,8,127.92
QD-005,2026-05-23,7,419.93
QD-010,2026-06-17,4,71.96
QD-003,2026-06-12,1,24.50
QD-007,2026-07-09,1,64.99
QD-007,2026-06-27,5,324.95
QD-004,2026-07-09,2,68.00
QD-008,2026-07-11,4,63.96
QD-003,2026-05-22,3,73.50
QD-007,2026-06-03,3,194.97
QD-005,2026-07-13,2,119.98
QD-001,2026-08-03,6,119.94
QD-005,2026-06-29,6,359.94
QD-003,2026-05-26,2,49.00
QD-010,2026-06-30,3,53.97
QD-003,2026-07-12,2,49.00
QD-001,2026-06-26,6,119.94
QD-002,2026-07-25,4,199.96
QD-008,2026-05-23,4,63.96
QD-005,2026-07-28,1,59.99
QD-008,2026-07-20,4,63.96
QD-003,2026-07-15,1,24.50
QD-007,2026-06-19,7,454.93
QD-009,2026-07-17,6,135.00
QD-005,2026-07-27,1,59.99
QD-002,2026-06-03,3,149.97
QD-010,2026-06-12,2,35.98
QD-006,2026-05-24,5,149.95
QD-010,2026-05-20,5,89.95
QD-004,2026-07-06,3,102.00
QD-009,2026-06-19,1,22.50
QD-005,2026-07-01,5,299.95
QD-007,2026-07-15,5,324.95
QD-004,2026-07-20,3,102.00
QD-009,2026-06-21,1,22.50
QD-002,2026-06-13,2,99.98
QD-004,2026-07-12,3,102.00
QD-005,2026-06-18,8,479.92
QD-007,2026-05-19,4,259.96
QD-006,2026-07-07,4,119.96
QD-007,2026-06-29,6,389.94
QD-007,2026-06-30,4,259.96
QD-002,2026-06-25,3,149.97
QD-007,2026-06-14,7,454.93
QD-010,2026-05-10,1,17.99
QD-002,2026-05-30,1,49.99
QD-005,2026-07-24,3,179.97
QD-003,2026-07-30,8,196.00
QD-010,2026-05-16,1,17.99
QD-006,2026-07-23,5,149.95
QD-003,2026-05-28,3,73.50
QD-001,2026-05-14,3,59.97
QD-004,2026-06-27,4,136.00
QD-009,2026-05-27,1,22.50
QD-003,2026-05-12,3,73.50
QD-002,2026-07-03,4,199.96
QD-005,2026-05-29,7,419.93
QD-006,2026-08-01,6,179.94
QD-002,2026-07-10,3,149.97
QD-006,2026-06-26,3,89.97
QD-001,2026-06-11,8,159.92
QD-006,2026-06-28,6,179.94
QD-004,2026-06-11,3,102.00
QD-008,2026-07-25,4,63.96
QD-007,2026-07-04,8,519.92
QD-003,2026-05-11,8,196.00
QD-003,2026-07-29,8,196.00
QD-007,2026-07-03,6,389.94
QD-004,2026-07-04,7,238.00
QD-002,2026-07-29,5,249.95
QD-007,2026-06-22,4,259.96
QD-008,2026-08-03,7,111.93
QD-007,2026-06-09,2,129.98
QD-006,2026-07-06,1,29.99
QD-006,2026-06-02,1,29.99
QD-004,2026-08-03,4,136.00
QD-005,2026-05-25,2,119.98
QD-005,2026-05-31,3,179.97
QD-009,2026-06-06,4,90.00
QD-006,2026-05-21,5,149.95
QD-009,2026-06-13,2,45.00
QD-005,2026-06-15,6,359.94
QD-007,2026-07-07,2,129.98
QD-001,2026-06-20,8,159.92
QD-008,2026-06-07,3,47.97
QD-004,2026-07-17,1,34.00
QD-009,2026-07-22,8,180.00
QD-002,2026-07-15,5,249.95
QD-004,2026-05-11,3,102.00
QD-003,2026-07-16,5,122.50
QD-003,2026-06-08,1,24.50
QD-002,2026-07-11,5,249.95
QD-009,2026-05-31,5,112.50
QD-009,2026-05-12,2,45.00
QD-010,2026-07-04,1,17.99
QD-005,2026-07-02,5,299.95
QD-005,2026-07-09,5,299.95
QD-004,2026-06-15,3,102.00
QD-003,2026-07-09,2,49.00
QD-007,2026-07-20,2,129.98
QD-010,2026-06-18,6,107.94
QD-009,2026-08-05,6,135.00
QD-006,2026-06-07,4,119.96
QD-005,2026-05-17,5,299.95
